Estado,Municipio,Parroquia,Hugo Chavez,Henrique Capriles Radonski,Reina Sequera,Maria Bolivar,Luis Reyes,Orlando Chirino,Valid votes,Null votes
Dtto. Capital,Blvno Libertador,El Valle,55677,34497,361,81,62,22,90700,2274
Anzoategui,Bolivar,El Carmen,48068,47319,582,40,48,39,96096,1987
Anzoategui,Cajigal,San Pablo,1188,506,2,1,2,0,1699,28
Anzoategui,Miranda,Boca Del Pao,889,582,1,0,2,0,1474,26
Aragua,Girardot,Joaquin Crespo,16151,19854,166,28,15,10,36224,559
Aragua,Girardot,Jose Casanova Godoy,19797,20199,169,18,24,3,40210,751
Aragua,Jose Felix Rivas,Juan Vicente Bolivar,19955,14797,178,23,27,13,34993,743
Barinas,Barinas,Barinas,3825,5689,50,3,5,2,9574,195
Barinas,Barinas,Corazon De Jesus,17541,12240,171,16,15,17,30000,635
Carabobo,Naguanagua,Naguanagua,32247,48102,301,42,40,29,80761,1179
Cojedes,Pao S J Bautista,El Pao,7802,2008,60,3,6,8,9887,272
Cojedes,Ezequiel Zamora,San Carlos De Austria,31269,21785,379,24,21,28,53506,1296
Cojedes,Tinaco,Grl/Jefe Jose L Silva,12204,6188,104,6,13,2,18517,471
Falcon,Buchivacoa,Guajiro,714,527,7,3,1,0,1252,22
Falcon,Carirubana,Punta Cardon,21325,15916,192,27,27,2,37489,769
Falcon,Falcon,Pueblo Nuevo,5931,3557,61,1,4,2,9556,174
Falcon,Mauroa,Mene De Mauroa,5079,3663,52,1,9,4,8808,247
Falcon,Miranda,Guzman Guillermo,2633,935,28,2,3,3,3604,77
Falcon,Silva,Tucacas,5589,5428,71,3,10,2,11103,323
Lara,Crespo,Jose Maria Blanco,5290,3768,61,4,18,1,9142,272
Lara,Moran,Guarico,6034,2258,71,3,17,11,8394,168
Merida,Alberto Adriani,Pulido Mendez,7133,5149,46,1,0,4,12333,289
Merida,Alberto Adriani,Presidente Betancourt,6237,6384,55,5,8,4,12693,294
Merida,Ob. Ramos De Lora,Sta Elena De Arenales,4453,3134,31,3,3,0,7624,117
Merida,Caracciolo Parra,Tucani,5122,3942,33,1,7,3,9108,272
Miranda,Sucre,Caucaguita,16049,9333,109,20,12,8,25531,654
Miranda,Simon Bolivar,S Antonio De Yare,4326,878,25,7,4,0,5240,124
Nva.Esparta,Villalba(I.Coche),Vicente Fuentes,1476,1173,7,0,4,0,2660,40
Portuguesa,Araure,Araure,45209,20699,330,37,40,28,66343,1335
Portuguesa,Sucre,Biscucuy,6982,4649,67,3,8,4,11713,364
Sucre,Arismendi,San Juan Galdonas,1596,638,12,0,1,1,2248,40
Sucre,Arismendi,Puerto Santo,1898,1151,9,0,0,1,3059,53
Sucre,Benitez,Guaraunos,421,348,3,0,0,0,772,12
Sucre,Ribero,Rendon,1675,806,14,0,2,0,2497,34
Sucre,Sucre,Altagracia,38933,30347,376,28,44,21,69749,1094
Sucre,Sucre,Santa Ines,20371,18060,218,13,14,9,38685,723
Tachira,Ayacucho,Rivas Berti,1483,1036,14,0,1,0,2534,57
Tachira,Junin,Rubio,12434,17346,131,20,8,7,29946,578
Tachira,Junin,Bramon,7444,6442,65,8,9,2,13970,359
Tachira,Lobatera,Lobatera,2617,1904,17,3,1,0,4542,87
Tachira,San Cristobal,Pedro Maria Morantes,9666,32206,104,21,7,4,42008,469
Tachira,San Cristobal,Sn Juan Bautista,16324,39489,168,26,13,5,56025,868
Tachira,Jose Maria Varga,El Cobre,3311,2850,24,0,2,0,6187,135
Trujillo,Valera,Juan Ignacio Montilla,8975,12406,67,7,9,2,21466,298
Zulia,Santa Rita,Santa Rita,9913,6922,60,5,5,4,16909,268
Zulia,Blvno Guajira,Guajira,14564,5436,90,3,18,9,20120,366
Zulia,Sucre,El Batey,2470,1011,11,1,1,3,3497,62
Zulia,San Francisco,Domitila Flores,41560,25287,263,15,34,6,67165,1129
Vargas,Vargas,Carlos Soublette,16759,9188,145,25,13,5,26135,560
Dtto. Capital,Blvno Libertador,Candelaria,12527,25314,120,48,23,12,38044,731
Dtto. Capital,Blvno Libertador,Catedral,8403,3802,55,6,7,6,12279,323
Dtto. Capital,Blvno Libertador,Altagracia,12975,14754,133,22,11,5,27900,440
Dtto. Capital,Blvno Libertador,La Pastora,29109,26166,254,67,39,15,55650,975
Dtto. Capital,Blvno Libertador,San Agustin,16028,9478,88,17,13,10,25634,499
Dtto. Capital,Blvno Libertador,San Juan,32389,28535,278,66,47,21,61336,1211
Dtto. Capital,Blvno Libertador,San Jose,11442,14259,114,31,16,1,25863,532
Dtto. Capital,Blvno Libertador,Santa Teresa,6498,9262,71,17,8,7,15863,276
Dtto. Capital,Blvno Libertador,Antimano,56372,18241,320,57,51,28,75069,1618
Dtto. Capital,Blvno Libertador,Sucre,147635,80193,1162,251,157,92,229490,5346
Dtto. Capital,Blvno Libertador,23 De Enero,38663,19220,241,70,51,23,58268,1271
Dtto. Capital,Blvno Libertador,El Recreo,24965,44791,224,70,24,22,70096,1005
Dtto. Capital,Blvno Libertador,Santa Rosalia,36481,29515,260,52,44,18,66370,1420
Dtto. Capital,Blvno Libertador,La Vega,44943,32020,342,70,44,25,77444,1461
Dtto. Capital,Blvno Libertador,Macarao,26970,10221,155,37,33,21,37437,905
Dtto. Capital,Blvno Libertador,Coche,25357,16574,162,39,25,16,42173,764
