Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Amazonas,Alto Orinoco,Huachamacare,281,168,9,0,1,0,459,2,461
Amazonas,Alto Orinoco,La Esmeralda,474,233,13,0,0,0,720,15,735
Amazonas,Alto Orinoco,Marawaka,344,348,8,0,0,0,700,55,755
Amazonas,Alto Orinoco,Mavaca,825,335,4,1,0,0,1165,10,1175
Amazonas,Alto Orinoco,Sierra Parima,220,25,1,0,0,0,246,3,249
Amazonas,Atabapo,Caname,76,63,0,0,0,0,139,5,144
Amazonas,Atabapo,San Fernando De Ataba,1390,1858,41,6,1,3,3299,100,3399
Amazonas,Atabapo,Ucata,291,218,5,0,1,0,515,16,531
Amazonas,Atabapo,Yapacana,110,266,9,0,0,0,385,22,407
Amazonas,Atures,Fernando Giron Tovar,8728,9286,151,9,2,5,18181,599,18780
Amazonas,Atures,Luis Alberto Gomez,14620,11279,175,12,11,10,26107,759,26866
Amazonas,Atures,Parhuena,2236,1900,23,0,2,1,4162,154,4316
Amazonas,Atures,Platanillal,2930,2175,35,0,2,1,5143,229,5372
Amazonas,Autana,Guayapo,399,213,4,0,1,0,617,15,632
Amazonas,Autana,Isla De Raton,589,838,14,0,1,1,1443,35,1478
Amazonas,Autana,Munduapo,249,448,10,0,0,0,707,13,720
Amazonas,Autana,Samariapo,687,649,12,1,2,0,1351,33,1384
Amazonas,Autana,Sipapo,408,386,5,0,0,0,799,32,831
Amazonas,Manapiare,Alto Ventuari,714,106,8,0,0,1,829,22,851
Amazonas,Manapiare,Bajo Ventuari,175,274,11,0,0,0,460,16,476
Amazonas,Manapiare,Medio Ventuari,340,93,4,0,0,0,437,7,444
Amazonas,Manapiare,San Juan De Manapiare,1346,481,13,0,1,1,1842,46,1888
Amazonas,Maroa,Comunidad,94,34,0,0,0,0,128,1,129
Amazonas,Maroa,Maroa,700,455,10,1,0,0,1166,19,1185
Amazonas,Maroa,Victorino,202,101,1,0,0,0,304,4,308
Amazonas,Rio Negro,Casiquiare,46,78,0,0,0,0,124,1,125
Amazonas,Rio Negro,Cocuy,24,61,1,0,0,0,86,1,87
