Estado,Municipio,Parroquia,Maduro,Falcon,Bertucci,Quijada,Valid,Invalid,Total
Amazonas,Alto Orinoco,Huachamacare,212,78,18,1,309,3,312
Amazonas,Alto Orinoco,La Esmeralda,449,75,30,0,554,13,567
Amazonas,Alto Orinoco,Marawaka,143,38,0,0,181,2,183
Amazonas,Alto Orinoco,Mavaca,616,51,0,0,667,0,667
Amazonas,Alto Orinoco,Sierra Parima,380,0,0,0,380,0,380
Amazonas,Atabapo,Caname,66,4,1,0,71,1,72
Amazonas,Atabapo,San Fernando de Ataba,1051,375,240,5,1671,40,1711
Amazonas,Atabapo,Ucata,184,47,18,1,250,1,251
Amazonas,Atabapo,Yapacana,89,45,39,2,175,1,176
Amazonas,Atures,Fernando Giron Tovar,7799,4849,1253,35,13936,252,14188
Amazonas,Atures,Luis Alberto Gomez,13311,6620,2410,64,22405,368,22773
Amazonas,Atures,Parhueña,3720,1176,689,5,5590,46,5636
Amazonas,Atures,Platanillal,3308,1458,392,9,5167,52,5219
Amazonas,Autana,Guayapo,307,67,30,1,405,2,407
Amazonas,Autana,Isla de Raton,277,434,43,0,754,4,758
Amazonas,Autana,Munduapo,70,122,16,0,208,0,208
Amazonas,Autana,Samariapo,547,317,69,1,934,26,960
Amazonas,Autana,Sipapo,302,266,31,0,599,1,600
Amazonas,Manapiare,Alto Ventuari,456,18,16,1,491,1,492
Amazonas,Manapiare,Bajo Ventuari,47,89,34,0,170,1,171
Amazonas,Manapiare,Medio Ventuari,229,34,6,1,270,2,272
Amazonas,Manapiare,San Juan de Manapiare,677,245,26,2,950,6,956
Amazonas,Maroa,Comunidad,34,14,0,0,48,0,48
Amazonas,Maroa,Maroa,504,195,3,0,702,0,702
Amazonas,Maroa,Victorino,110,15,5,1,131,0,131
Amazonas,Rio Negro,Casiquiare,70,0,0,0,70,30,100
Amazonas,Rio Negro,Cocuy,11,11,0,0,22,0,22
Amazonas,Rio Negro,San Carlos de Rio Negro,574,104,28,2,708,6,714
Amazonas,Rio Negro,Solano,98,22,18,0,138,6,144
Anzoategui,Anaco,Anaco,21314,8674,9074,103,39165,737,39902
Anzoategui,Anaco,San Joaquin,2120,530,564,5,3219,43,3262
Anzoategui,Aragua,Aragua de Barcelona,7525,2166,2596,23,12310,174,12484
Anzoategui,Aragua,Cachipo,574,123,58,0,755,5,760
Anzoategui,Bolivar,Bergantin,1034,273,419,1,1727,19,1746
Anzoategui,Bolivar,Caigua,1865,429,394,1,2689,39,2728
Anzoategui,Bolivar,El Carmen,36480,15241,10197,202,62120,1223,63343
Anzoategui,Bolivar,El Pilar,1036,255,197,3,1491,31,1522
Anzoategui,Bolivar,Naricual,3776,1575,1264,5,6620,63,6683
Anzoategui,Bolivar,San Cristobal,42635,14651,14208,207,71701,1202,72903
Anzoategui,Bruzual,Clarines,4711,2532,668,17,7928,166,8094
Anzoategui,Bruzual,Guanape,2326,724,264,8,3322,52,3374
Anzoategui,Bruzual,Sabana de Uchire,1191,378,597,1,2167,26,2193
Anzoategui,Cajigal,Onoto,3213,1315,227,3,4758,38,4796
Anzoategui,Cajigal,San Pablo,1137,183,257,0,1577,18,1595
Anzoategui,Carvajal,Santa Barbara,434,39,274,0,747,5,752
Anzoategui,Carvajal,Valle Guanape,3804,1142,1301,7,6254,86,6340
Anzoategui,Freites,Cantaura,17659,5006,2568,39,25272,285,25557
Anzoategui,Freites,Libertador,836,120,56,2,1014,4,1018
Anzoategui,Freites,Santa Rosa,2437,339,84,2,2862,9,2871
Anzoategui,Freites,Urica,2412,216,221,0,2849,13,2862
Anzoategui,Guanipa,San Jose de Guanipa,16558,9772,2454,100,28884,483,29367
Anzoategui,Guanta,Chorreron,3875,1569,625,21,6090,134,6224
Anzoategui,Guanta,Guanta,5317,2085,1058,28,8488,212,8700
Anzoategui,Independencia,Mamo,2840,380,518,2,3740,32,3772
Anzoategui,Independencia,Soledad,6389,876,3541,24,10830,99,10929
Anzoategui,Diego Bautista,El Morro,378,280,130,8,796,42,838
Anzoategui,Diego Bautista,Lecherias,2158,1476,498,35,4167,157,4324
Anzoategui,Libertad,El Carito,618,284,47,0,949,4,953
Anzoategui,Libertad,San Mateo,2759,1579,460,6,4804,40,4844
Anzoategui,Libertad,Santa Ines,1128,298,187,0,1613,9,1622
Anzoategui,Mc Gregor,El Chaparro,2562,585,320,0,3467,26,3493
Anzoategui,Mc Gregor,Tomas Alfaro Calatrava,678,154,41,1,874,2,876
Anzoategui,Miranda,Atapirire,1394,437,95,4,1930,19,1949
Anzoategui,Miranda,Boca del Pao,1090,103,58,0,1251,8,1259
Anzoategui,Miranda,El Pao,1114,386,142,1,1643,8,1651
Anzoategui,Miranda,Pariaguan,8660,5364,1582,21,15627,252,15879
Anzoategui,Monagas,Mapire,941,668,226,2,1837,21,1858
Anzoategui,Monagas,Piar,333,181,94,0,608,4,612
Anzoategui,Monagas,Santa Clara,845,324,146,3,1318,22,1340
Anzoategui,Monagas,San Diego de Cabrutica,1291,649,250,5,2195,50,2245
Anzoategui,Monagas,Uverito,591,421,52,0,1064,5,1069
Anzoategui,Monagas,Zuata,1044,236,98,4,1382,11,1393
Anzoategui,Peñalver,Puerto Piritu,5740,2479,1331,40,9590,215,9805
Anzoategui,Peñalver,San Miguel,1217,416,120,2,1755,8,1763
Anzoategui,Peñalver,Sucre,1011,290,116,5,1422,15,1437
Anzoategui,Piritu,Piritu,6804,2900,1547,24,11275,157,11432
Anzoategui,Piritu,San Francisco,313,42,181,0,536,1,537
Anzoategui,Santa Ana,Pueblo Nuevo,468,74,122,2,666,7,673
Anzoategui,Santa Ana,Santa Ana,2413,1158,689,11,4271,68,4339
Anzoategui,Simon Rodriguez,El Tigre,31565,16118,4864,178,52725,1108,53833
